DEPARTAMEN;DISTRITO;ZONA;DIRECCION;CODIGO_UE;UNIDAD_EDU
COCHABAMBA;POJO;VILLA FLORIDA;CARRETERA NUEVA SANTA CRUZ - COCHABAMBA KM. 287;30870002;ELIZARDO PEREZ
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;DURAZNILLO;CMD. DURAZNILLO;40850001;DURAZNILLO
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;TOJRACOLLO;TOJRACOLLO;40850002;TOJRACOLLO
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;TOTORAL;CMD. TOTORAL;40850003;MARCELO QUIROGA SANTA CRUZ
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;YANA RUMI;YANA RUMI;40850004-40850010;GUSTAVO GARCIA PEREIRA,RENE PANOSO LARA
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;HERRERA CANCHA;CMD. HERRERA CANCHA;40850005;JOSE BALLIVIAN
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;CUCHUMUELA;CUCHUMUELA;40850006;23 DE MARZO DE CUCHU MUELA
COCHABAMBA;VILLA RIVERO/ TACACHI/ CUCHUMUELA (VILLA G. V;HUAÑACOTA;HUAÑACOTA;40850008;HUAÑACOTA
COCHABAMBA;PUERTO VILLARROEL;BUENA VISTA;COLONIA BUENA VISTA;40870017;BUENA VISTA
COCHABAMBA;PUERTO VILLARROEL;14 DE SEPTIEMBRE;14 DE SEPTIEMBRE;40870001;14 DE SEPTIEMBRE
COCHABAMBA;PUERTO VILLARROEL;2 DE MARZO;COMUNIDAD 2 DE MARZO;40870002;2 DE MARZO
COCHABAMBA;PUERTO VILLARROEL;AYOPAYA;AYOPAYA;40870004;AYOPAYA
COCHABAMBA;PUERTO VILLARROEL;ALTO CHIJINI;COLONIA ALTO CHIJINI;40870005;ALTO CHIJINI
COCHABAMBA;PUERTO VILLARROEL;CHASQUI;COLONIA CHASQUI;40870009;CHASQUI
COCHABAMBA;PUERTO VILLARROEL;MARIPOSAS;CALLE 14 DE SEPTIEMBRE MARIPOSAS;40870012;MARCELO QUIROGA SANTA CRUZ
COCHABAMBA;PUERTO VILLARROEL;EDUARDO ABAROA;COLONIA EDUARDO ABAROA;40870011;LADISLAO CABRERA
COCHABAMBA;PUERTO VILLARROEL;25 DE JULIO;25 DE JULIO;40870014;25 DE JULIO
COCHABAMBA;PUERTO VILLARROEL;ANTOFAGASTA;ANTOFAGASTA;40870015;ANTOFAGASTA
COCHABAMBA;PUERTO VILLARROEL;PUERTO VILLARROEL;PUERTO VILLARROEL AVENIDA BENI;40870016-40870087-40870094;LITORAL,EDUARDO ABAROA,PUERTO VILLARROEL
COCHABAMBA;PUERTO VILLARROEL;GERMAN BUSCH;GERMAN BUSCH;40870018;GERMAN BUSCH
COCHABAMBA;PUERTO VILLARROEL;ISRAEL;POBLACION ISRAEL;40870019;ISRAEL
COCHABAMBA;PUERTO VILLARROEL;LIBERTAD;LIBERTAD;40870020;LIBERTAD
COCHABAMBA;PUERTO VILLARROEL;MONTE REY;COMUNIDAD MONTE REY;40870021;MONTE REY
COCHABAMBA;PUERTO VILLARROEL;JOSE MARIA LINARES;JOSE MARIA LINARES;40870022;JOSE MARIA LINARES
