departamento;distrito;zona  ;direccion;latitud;longitud;codigo_ue;unidad_educativa;cod_edif_educativo
LA PAZ;TEOPONTE;COLONIA CHACOMA IRPA GRANDE;COLONIA CHACOMA IRPA GRANDE;-15,5101;-67,6917;10680001;NUEVA ESTRELLA IRPA GRANDE;10680001
LA PAZ;TEOPONTE;;MAYAYA;-15,359349;-67,642136;10680002;SARTAWI;10680002
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CANUTA;ZONA CANUTA;-17,421453;-68,478196;10710001;CANUTA;10710001
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CHIJMUNI PAMPA;ZONA CHIJMUNI PAMPA;-17,527945;-68,26473;10710003;CHIJMUNI PAMPA;10710002
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;ZONA CRUCERO;-17,408251;-68,500454;10710004;CRUCERO;10710003
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);HICHURAYA;ZONA HUICHURAYA;-17,333944;-68,439113;10710005;HUICHURAYA;10710004
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;ZONA HUAJRUMA;-17,577059;-68,391818;10710006;HUAJRUMA;10710005
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;VILLA PUSILLA;-17,517286;-68,331078;10710007;VILLA PUSILLA;10710006
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;ZONA TOTORJOKO;-17,510702;-68,421848;10710008;TOTORJOKO;10710007
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;ZONA JANKO CHAULLANI;-17,580329;-68,325834;10710009;JANKO CHAULLANI;10710008
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);ACOPATA;ZONA ACOPATA;-17,468826;-68,472921;10710010;ACOPATA;10710009
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);TOTORANI;ZONA TOTORANI;-17,438675;-68,521483;10710011;TOTORANI;10710010
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;ZONA VITUYA;-17,383408;-68,436784;10710012;VITUYA;10710011
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;ZONA ROMERO PAMPA;-17,359445;-68,235679;10710013;ROMERO PAMPA A;10710012
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);HUAYLLAPANTA;HUAYLLAPANTA;-17,279117;-68,263179;10710015;HUAYLLAPANTA;10710013
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;POKEVILLKE;-17,328569;-68,276995;10710016;POKEVILLQUE;10710014
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);HUAREJANA;HUAREJANA;-17,437524;-68,292686;10710017;HUAREJANA;10710015
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);MIKAYANI;MIKAYANI;-17,448138;-68,228661;10710018;MIKAYANI;10710016
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;LUPACAMAYA;-17,343193;-68,211912;10710019;LUPACAMAYA;10710017
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;ZONA JAYUMA;-17,376359;-68,257384;10710020;JAYUMA;10710018
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;PICHINI;-17,368012;-68,246941;10710021;PICHINI;10710019
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;CHOQUEPUJO;-17,36247;-68,367178;10710022;CHOQUEPUJO;10710020
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);VILAQUE;VILAQUE;-17,325323;-68,319198;10710023;VILAQUE;10710021
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);COLLPACANTA;COLLPACANTA;-17,341055;-68,315883;10710024;COLLPACANTA;10710022
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);VILLA PUCHINI;VILLA PUCHUNI;-17,283985;-68,31967;10710025;VILLA PUCHUNI;10710023
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CHULLCHAPI;CHULLCHAPI;-17,434514;-68,393671;10710026;CHULLCHAPI;10710024
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CHEJHUAYA;CHEJHUAYA;-17,317298;-68,3817;10710027;CHEJHUAYA;10710025
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CALARI;PUJRATA CALARI;-17,389455;-68,307972;10710028;PUJRATA CALARI;10710026
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);SANTIAGO DE CALLAPA;avenida principal de la localidad;-17,479077;-68,353805;10710029;JUANA AZURDUY DE PADILLA;10710027
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);PUERTO CHIVO;PUERTO CHIVO;-17,567894;-68,304676;10710031;SANKHAYUNI DE PUERTO CHIVO;10710028
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);JUCUMARINI;JUCUMARINI;-17,496073;-68,294374;10710032;SIMON BOLIVAR;10710029
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CUIPASANI;CUIPASANI;-17,429344;-68,362605;10710033;VILLA ESPERANZA DE CUIPASANI;10710030
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;JANKOHAPAYA;-17,394793;-68,395175;10710034;PORVENIR DE JANKOHAPAYA;10710031
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;JOKOPAMPA;-17,352129;-68,217978;10710037;GERMAN BUSCH DE JOKHOPAMPA;10710034
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;TIERRA GRANDE;-17,430943;-68,212469;10710038;LIBERTADOR SIMON BOLIVAR;10710035
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CONDO CUMARAVI;CUMARAVI;-17,349412;-68,335879;10710039;TUPAC AMARU;10710036
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CENTRO YARIBAY;CENTRO YARIBAY;-17,267648;-68,378399;10710040;SIMON BOLIVAR MCAL. SUCRE;10710037
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);SAN FRANCISCO DE YARIBAY;SAN FRANCISCO DE YARIBAY;-17,248244;-68,41264;10710042;SAN FRANCISCO DE YARIBAY;10710039
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);ROSAPATA YARIBAY;CMD. ROSA PATA YARIBAY;-17,224821;-68,360634;10710043;ROSA PATA YARIBAY;10710040
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);CHULLUNCAYANI;CHULLUNCAYANI;-17,266488;-68,435969;10710044;CHULLUNCAYANI;10710041
LA PAZ;SANTIAGO DE CALLAPA (C. CALLAPA);;IMAÑUTA;-17,332047;-68,484638;10710045;IMAÑUTA;10710042
